time,sound,probability
2.33,Music,0.6946630477905273
2.34,Music,0.6946630477905273
2.35,Music,0.6946630477905273
2.36,Music,0.6946630477905273
2.37,Music,0.6946630477905273
2.38,Music,0.6946630477905273
2.39,Music,0.6946630477905273
2.4,Music,0.6946630477905273
2.41,Music,0.6946630477905273
2.42,Music,0.6946630477905273
2.43,Music,0.6946630477905273
2.44,Music,0.6946630477905273
2.45,Music,0.6946630477905273
2.46,Music,0.6946630477905273
2.47,Music,0.6946630477905273
2.48,Music,0.6946630477905273
2.49,Music,0.6946630477905273
2.5,Music,0.6946630477905273
2.51,Music,0.6946630477905273
2.52,Music,0.6946630477905273
2.53,Music,0.6946630477905273
2.54,Music,0.6946630477905273
2.55,Music,0.6946630477905273
2.56,Music,0.7181113362312317
2.57,Music,0.7181113362312317
2.58,Music,0.7181113362312317
2.59,Music,0.7181113362312317
2.6,Music,0.7181113362312317
2.61,Music,0.7181113362312317
2.62,Music,0.7181113362312317
2.63,Music,0.7181113362312317
2.64,Music,0.7181113362312317
2.65,Music,0.7181113362312317
2.66,Music,0.7181113362312317
2.67,Music,0.7181113362312317
2.68,Music,0.7181113362312317
2.69,Music,0.7181113362312317
2.7,Music,0.7181113362312317
2.71,Music,0.7181113362312317
2.72,Music,0.7181113362312317
2.73,Music,0.7181113362312317
2.74,Music,0.7181113362312317
2.75,Music,0.7181113362312317
2.76,Music,0.7181113362312317
2.77,Music,0.7181113362312317
2.78,Music,0.7181113362312317
2.79,Music,0.7181113362312317
2.8,Music,0.7181113362312317
2.81,Music,0.7181113362312317
2.82,Music,0.7181113362312317
2.83,Music,0.7181113362312317
2.84,Music,0.7181113362312317
2.85,Music,0.7181113362312317
2.86,Music,0.7181113362312317
2.87,Music,0.7181113362312317
2.88,Music,0.7561486959457397
2.89,Music,0.7561486959457397
2.9,Music,0.7561486959457397
2.91,Music,0.7561486959457397
2.92,Music,0.7561486959457397
2.93,Music,0.7561486959457397
2.94,Music,0.7561486959457397
2.95,Music,0.7561486959457397
2.96,Music,0.7561486959457397
2.97,Music,0.7561486959457397
2.98,Music,0.7561486959457397
2.99,Music,0.7561486959457397
3.0,Music,0.7561486959457397
3.01,Music,0.7561486959457397
3.02,Music,0.7561486959457397
3.03,Music,0.7561486959457397
3.04,Music,0.7561486959457397
3.05,Music,0.7561486959457397
3.06,Music,0.7561486959457397
3.07,Music,0.7561486959457397
3.08,Music,0.7561486959457397
3.09,Music,0.7561486959457397
3.1,Music,0.7561486959457397
3.11,Music,0.7561486959457397
3.12,Music,0.7561486959457397
3.13,Music,0.7561486959457397
3.14,Music,0.7561486959457397
3.15,Music,0.7561486959457397
3.16,Music,0.7561486959457397
3.17,Music,0.7561486959457397
3.18,Music,0.7561486959457397
3.19,Music,0.7561486959457397
3.2,Music,0.7669980525970459
3.21,Music,0.7669980525970459
3.22,Music,0.7669980525970459
3.23,Music,0.7669980525970459
3.24,Music,0.7669980525970459
3.25,Music,0.7669980525970459
3.26,Music,0.7669980525970459
3.27,Music,0.7669980525970459
3.28,Music,0.7669980525970459
3.29,Music,0.7669980525970459
3.3,Music,0.7669980525970459
3.31,Music,0.7669980525970459
3.32,Music,0.7669980525970459
3.33,Music,0.7669980525970459
3.34,Music,0.7669980525970459
3.35,Music,0.7669980525970459
3.36,Music,0.7669980525970459
3.37,Music,0.7669980525970459
3.38,Music,0.7669980525970459
3.39,Music,0.7669980525970459
3.4,Music,0.7669980525970459
3.41,Music,0.7669980525970459
3.42,Music,0.7669980525970459
3.43,Music,0.7669980525970459
3.44,Music,0.7669980525970459
3.45,Music,0.7669980525970459
3.46,Music,0.7669980525970459
3.47,Music,0.7669980525970459
3.48,Music,0.7669980525970459
3.49,Music,0.7669980525970459
3.5,Music,0.7669980525970459
3.51,Music,0.7669980525970459
3.52,Music,0.7727198600769043
3.53,Music,0.7727198600769043
3.54,Music,0.7727198600769043
3.55,Music,0.7727198600769043
3.56,Music,0.7727198600769043
3.57,Music,0.7727198600769043
3.58,Music,0.7727198600769043
3.59,Music,0.7727198600769043
3.6,Music,0.7727198600769043
3.61,Music,0.7727198600769043
3.62,Music,0.7727198600769043
3.63,Music,0.7727198600769043
3.64,Music,0.7727198600769043
3.65,Music,0.7727198600769043
3.66,Music,0.7727198600769043
3.67,Music,0.7727198600769043
3.68,Music,0.7727198600769043
3.69,Music,0.7727198600769043
3.7,Music,0.7727198600769043
3.71,Music,0.7727198600769043
3.72,Music,0.7727198600769043
3.73,Music,0.7727198600769043
3.74,Music,0.7727198600769043
3.75,Music,0.7727198600769043
3.76,Music,0.7727198600769043
3.77,Music,0.7727198600769043
3.78,Music,0.7727198600769043
3.79,Music,0.7727198600769043
3.8,Music,0.7727198600769043
3.81,Music,0.7727198600769043
3.82,Music,0.7727198600769043
3.83,Music,0.7727198600769043
3.84,Music,0.7474138140678406
3.85,Music,0.7474138140678406
3.86,Music,0.7474138140678406
3.87,Music,0.7474138140678406
3.88,Music,0.7474138140678406
3.89,Music,0.7474138140678406
3.9,Music,0.7474138140678406
3.91,Music,0.7474138140678406
3.92,Music,0.7474138140678406
3.93,Music,0.7474138140678406
3.94,Music,0.7474138140678406
3.95,Music,0.7474138140678406
3.96,Music,0.7474138140678406
3.97,Music,0.7474138140678406
3.98,Music,0.7474138140678406
3.99,Music,0.7474138140678406
4.0,Music,0.7474138140678406
4.01,Music,0.7474138140678406
4.02,Music,0.7474138140678406
4.03,Music,0.7474138140678406
4.04,Music,0.7474138140678406
4.05,Music,0.7474138140678406
4.06,Music,0.7474138140678406
4.07,Music,0.7474138140678406
4.08,Music,0.7474138140678406
4.09,Music,0.7474138140678406
4.1,Music,0.7474138140678406
4.11,Music,0.7474138140678406
4.12,Music,0.7474138140678406
4.13,Music,0.7474138140678406
4.14,Music,0.7474138140678406
4.15,Music,0.7474138140678406
4.16,Music,0.729377031326294
4.17,Music,0.729377031326294
4.18,Music,0.729377031326294
4.19,Music,0.729377031326294
4.2,Music,0.729377031326294
4.21,Music,0.729377031326294
4.22,Music,0.729377031326294
4.23,Music,0.729377031326294
4.24,Music,0.729377031326294
4.25,Music,0.729377031326294
4.26,Music,0.729377031326294
4.27,Music,0.729377031326294
4.28,Music,0.729377031326294
4.29,Music,0.729377031326294
4.3,Music,0.729377031326294
4.31,Music,0.729377031326294
4.32,Music,0.729377031326294
4.33,Music,0.729377031326294
4.34,Music,0.729377031326294
4.35,Music,0.729377031326294
4.36,Music,0.729377031326294
4.37,Music,0.729377031326294
4.38,Music,0.729377031326294
4.39,Music,0.729377031326294
4.4,Music,0.729377031326294
4.41,Music,0.729377031326294
4.42,Music,0.729377031326294
4.43,Music,0.729377031326294
4.44,Music,0.729377031326294
4.45,Music,0.729377031326294
4.46,Music,0.729377031326294
4.47,Music,0.729377031326294
4.48,Music,0.6992998719215393
4.49,Music,0.6992998719215393
4.5,Music,0.6992998719215393
4.51,Music,0.6992998719215393
4.52,Music,0.6992998719215393
4.53,Music,0.6992998719215393
4.54,Music,0.6992998719215393
4.55,Music,0.6992998719215393
4.56,Music,0.6992998719215393
4.57,Music,0.6992998719215393
4.58,Music,0.6992998719215393
4.59,Music,0.6992998719215393
4.6,Music,0.6992998719215393
4.61,Music,0.6992998719215393
4.62,Music,0.6992998719215393
4.63,Music,0.6992998719215393
4.64,Music,0.6992998719215393
4.65,Music,0.6992998719215393
4.66,Music,0.6992998719215393
4.67,Music,0.6992998719215393
4.68,Music,0.6992998719215393
4.69,Music,0.6992998719215393
4.7,Music,0.6992998719215393
4.71,Music,0.6992998719215393
4.72,Music,0.6992998719215393
4.73,Music,0.6992998719215393
4.74,Music,0.6992998719215393
4.75,Music,0.6992998719215393
4.76,Music,0.6992998719215393
4.77,Music,0.6992998719215393
4.78,Music,0.6992998719215393
4.79,Music,0.6992998719215393
4.8,Music,0.6649285554885864
4.81,Music,0.6649285554885864
4.82,Music,0.6649285554885864
4.83,Music,0.6649285554885864
4.84,Music,0.6649285554885864
4.85,Music,0.6649285554885864
4.86,Music,0.6649285554885864
4.87,Music,0.6649285554885864
4.88,Music,0.6649285554885864
4.89,Music,0.6649285554885864
4.9,Music,0.6649285554885864
4.91,Music,0.6649285554885864
4.92,Music,0.6649285554885864
4.93,Music,0.6649285554885864
4.94,Music,0.6649285554885864
4.95,Music,0.6649285554885864
4.96,Music,0.6649285554885864
4.97,Music,0.6649285554885864
4.98,Music,0.6649285554885864
4.99,Music,0.6649285554885864
5.0,Music,0.6649285554885864
5.01,Music,0.6649285554885864
5.02,Music,0.6649285554885864
5.03,Music,0.6649285554885864
5.04,Music,0.6649285554885864
5.05,Music,0.6649285554885864
5.06,Music,0.6649285554885864
5.07,Music,0.6649285554885864
5.08,Music,0.6649285554885864
5.09,Music,0.6649285554885864
5.1,Music,0.6649285554885864
5.11,Music,0.6649285554885864
5.12,Music,0.6656400561332703
5.13,Music,0.6656400561332703
5.14,Music,0.6656400561332703
5.15,Music,0.6656400561332703
5.16,Music,0.6656400561332703
5.17,Music,0.6656400561332703
5.18,Music,0.6656400561332703
5.19,Music,0.6656400561332703
5.2,Music,0.6656400561332703
5.21,Music,0.6656400561332703
5.22,Music,0.6656400561332703
5.23,Music,0.6656400561332703
5.24,Music,0.6656400561332703
5.25,Music,0.6656400561332703
5.26,Music,0.6656400561332703
5.27,Music,0.6656400561332703
5.28,Music,0.6656400561332703
5.29,Music,0.6656400561332703
5.3,Music,0.6656400561332703
5.31,Music,0.6656400561332703
5.32,Music,0.6656400561332703
5.33,Music,0.6656400561332703
5.34,Music,0.6656400561332703
5.35,Music,0.6656400561332703
5.36,Music,0.6656400561332703
5.37,Music,0.6656400561332703
5.38,Music,0.6656400561332703
5.39,Music,0.6656400561332703
5.4,Music,0.6656400561332703
5.41,Music,0.6656400561332703
5.42,Music,0.6656400561332703
5.43,Music,0.6656400561332703
5.44,Music,0.719383180141449
5.45,Music,0.719383180141449
5.46,Music,0.719383180141449
5.47,Music,0.719383180141449
5.48,Music,0.719383180141449
5.49,Music,0.719383180141449
5.5,Music,0.719383180141449
5.51,Music,0.719383180141449
